,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,59899414,59481987,58448259,58125680,58017823
Einrichtungskosten,8960000,9110000,9200000,9030000,9030000
Produktionskosten,47634200,47130250,45999300,45882548,45784900
Transportkosten,2020888,1957716,1963263,1936543,1932840
Emissionskosten,1284326,1284021,1285696,1276589,1270083
CO2-Ausstoß,15109714,15106124,15125837,15018693,14942150
Optimality Gap,3.7315459996209584e-16,4.587793816508328e-08,5.098923890229019e-16,6.598365956114397e-09,1.730740106870849e-08
Run Time,3.9875378608703613,7.416656970977783,6.506597995758057,5.690670013427734,6.663680076599121
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,313.0,991.0,713.0,1201.0,663.0
