,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,60692543.2,56433531.5525,52232379.879999965,47502121.19599998,42926375.75399994
Einrichtungskosten,11160000,11770000,12390000,12390000,12520000
Produktionskosten,46645900,41326548,36378100,31005250,25593400
Transportkosten,1704214,1873968,1779796,1945760,2163190
Emissionskosten,1182429,1463016,1684484,2161111,2649785
CO2-Ausstoß,13910935,17211948,19817462,23441129,27087950
Optimality Gap,0.0,3.060169744939649e-07,1.2066234574075094e-07,0.015455526109605409,4.83824336389491e-08
Run Time,6.854192018508911,21.29170298576355,44.025962114334106,300.01129603385925,12.127562999725342
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,1033.0,3561.0,55833.0,444029.0,5567.0
